,name,category,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,labels,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,trending,updated_github_id
92,AMES - Version 5.0,steady-state,,ames-market/AMES-V5.0,https://github.com/ames-market/AMES-V5.0/blob/master/LICENSE.rst,Wholesale Power Market Test Bed.,https://github.com/ames-market/AMES-V5.0,https://www2.econ.iastate.edu/tesfatsi/AMESMarketHome.htm,2020-08-03 08:54:08.000,2023-06-08 19:36:40.000000,2023-06-08 19:36:10,119.0,,5.0,3.0,21.0,3.0,6,True,https://www2.econ.iastate.edu/tesfatsi/AMESMarketProjectSetUpInfo.pdf,2.0,,,,,,['java'],,,,,,,,,,,,,,3.0,,,,,,,
93,OpenHybridSim,phasor,,OpenHybridSim/OpenHybridSim-code,BSD-3,EMT-TS hybrid simulation.,https://github.com/OpenHybridSim/OpenHybridSim-code,https://github.com/OpenHybridSim/OpenHybridSim-code,2015-01-17 03:59:14.000,2020-05-05 20:35:13.000000,2020-05-05 20:35:12,16.0,,5.0,1.0,7.0,,6,True,,5.0,,,,,,['java'],,,,,,,,,,,,,,3.0,,,,,,,
94,mypower,steady-state,,yasirroni/mypower,MIT,Supplementary function of MATPOWER in Python.,https://github.com/yasirroni/mypower,https://github.com/yasirroni/mypower,2020-03-09 07:23:38.000,2022-11-26 22:27:49.000000,2022-11-26 22:27:22,39.0,,1.0,,6.0,,6,True,,3.0,3.0,,,,,['python'],,,,,,,,,,,,,,3.0,,,,,,,
95,PSSE RAW,intf,,anderson-optimization/em-psse,MIT,PSSE RAW parser.,https://github.com/anderson-optimization/em-psse,https://github.com/anderson-optimization/em-psse,2019-02-14 21:15:32.000,2021-01-07 22:33:21.000000,2020-01-07 18:15:29,19.0,,15.0,,30.0,2.0,5,True,,5.0,,1.0,,,,"['pypi', 'python']",,,,,,,,,,,,,,3.0,,,,,,,
96,andes_gym,mrl,,cuihantao/andes_gym,GPL-3,ANDES RL Environment for OpenAI Gym.,https://github.com/cuihantao/andes_gym,https://github.com/cuihantao/andes_gym,2020-04-19 18:18:34.000,2022-01-28 19:53:49.000000,2022-01-28 19:53:49,31.0,,4.0,,8.0,2.0,5,True,,3.0,1.0,,,,,"['python', 'jupyter']",,,,,,,,,,,,,,3.0,,,,,,,
97,PowerSystemsInvestmentsPortfolios.jl,steady-state,,NREL-Sienna/PowerSystemsInvestmentsPortfolios.jl,BSD-3,Data models for Power Systems investment models; NREL Sienna.,https://github.com/NREL-Sienna/PowerSystemsInvestmentsPortfolios.jl,https://www.nrel.gov/analysis/sienna.html,2024-02-29 21:31:12.000,2024-05-29 22:43:58.000000,2024-03-27 17:20:14,20.0,4.0,2.0,6.0,9.0,2.0,4,True,https://nrel-sienna.github.io/PowerSystemsInvestmentsPortfolios.jl/stable,5.0,3.0,,,,,"['gha', 'julia']",,,,,,,,,,,,,,3.0,,,,,,-1.0,
98,Andes.jl,intf,,cuihantao/Andes.jl,MIT,Julia interface for ANDES.,https://github.com/cuihantao/Andes.jl,https://ltb.curent.org,2020-04-03 21:53:26.000,2024-02-05 08:03:58.000000,2024-02-05 04:08:07,58.0,,1.0,,8.0,,4,True,,2.0,1.0,1.0,,,,['julia'],,,,,,,,,,,,,,3.0,,,,,,,
99,AMES (V4.0),steady-state,,ames-market/AMES-v4.0,GPL-2,Agent based Modeling of Electricity Systems.,https://github.com/ames-market/AMES-v4.0,https://www2.econ.iastate.edu/tesfatsi/AMESMarketHome.htm,2017-04-18 18:19:21.000,2022-12-26 20:28:08.000000,2020-08-28 07:29:40,6.0,,7.0,3.0,13.0,2.0,3,True,https://github.com/ames-market/AMES-v4.0/blob/master/USAGE.md,3.0,6.0,2.0,,,,['java'],,,,,,,,,,,,,,3.0,,,,,,,
100,PowerSystemsInvestments.jl,steady-state,,NREL-Sienna/PowerSystemsInvestments.jl,BSD-3,Power Systems investment models; NREL Sienna.,https://github.com/NREL-Sienna/PowerSystemsInvestments.jl,https://www.nrel.gov/analysis/sienna.html,2024-02-29 21:28:33.000,2024-03-27 19:40:33.000000,2024-03-25 21:03:33,11.0,1.0,1.0,1.0,9.0,2.0,3,True,https://nrel-sienna.github.io/PowerSystemsInvestments.jl/stable,5.0,,,,,,"['gha', 'julia']",,,,,,,,,,,,,,3.0,,,,,,-2.0,
101,EasySimauto.jl,intf,,mzy2240/EasySimauto.jl,Apache-2.0,Julia interface for EasySimAuto and PowerWorld.,https://github.com/mzy2240/EasySimauto.jl,https://github.com/mzy2240/EasySimauto.jl,2022-09-16 15:59:20.000,2023-07-31 19:46:50.000000,2023-07-31 19:46:46,15.0,,,,4.0,2.0,3,True,,1.0,,2.0,2022-09-27 15:08:27.000,0.1.0,1.0,['julia'],,,,,,,,,,,,,,3.0,,,,,,,
102,OpenDSS,phasor,,,BSD,Distribution system simulator.,,https://www.epri.com/pages/sa/opendss,,,,,,,,,,2,True,https://opendss.epri.com/opendss_documentation.html,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
103,PSAT,phasor,,,GPL,A Matlab toolbox for electric power system analysis and simulation.,,http://faraday1.ucd.ie/psat.html,,,,,,,,,,2,True,https://www.amazon.com/dp/B08P3QTQDV?ref_=pe_3052080_397514860,,,,,,,['octave'],,,,,,,,,,,,,,3.0,,,,,,,
